"Designator","Mid X","Mid Y","Layer","Rotation"
"220VAC","51.935","110.808","Top","180.0"
"C1","24.908","44.45","Top","90.0"
"C2","43.005","6.985","Top","0.0"
"C3","34.75","37.783","Top","270.0"
"C4","34.75","16.827","Top","90.0"
"C5","23.32","21.59","Top","180.0"
"C6","29.987","25.082","Top","0.0"
"D1","49.384","99.695","Top","270.0"
"D2","55.388","98.876","Top","90.0"
"D3","49.384","82.55","Top","270.0"
"D4","55.416","81.915","Top","90.0"
"D5","49.384","66.04","Top","270.0"
"D6","55.417","65.405","Top","90.0"
"D7","49.702","48.577","Top","270.0"
"D8","55.417","47.942","Top","90.0"
"D9","49.702","31.115","Top","270.0"
"D10","55.417","30.613","Top","90.0"
"D11","37.607","68.58","Top","0.0"
"D12","18.558","68.58","Top","0.0"
"F1","27.13","20.955","Top","90.0"
"F2","56.583","94.995","Top","180.0"
"F3","56.671","77.788","Top","180.0"
"F4","56.695","61.303","Top","180.0"
"F5","56.658","43.631","Top","180.0"
"F6","56.687","26.353","Top","180.0"
"J1","57.163","2.031","Top","90.0"
"J2","67.142","95.253","Top","180.0"
"J3","67.142","78.108","Top","180.0"
"J4","67.142","60.963","Top","180.0"
"J5","67.142","43.818","Top","180.0"
"J6","67.142","26.673","Top","180.0"
"K6","33.48","80.893","Top","90.0"
"K7","14.43","80.893","Top","90.0"
"LCD","42.37","42.545","Top","270.0"
"PVin","60.785","8.831","Top","0.0"
"Q1","52.53","99.511","Top","90.0"
"Q2","52.559","82.55","Top","90.0"
"Q3","52.242","66.04","Top","90.0"
"Q4","52.559","48.578","Top","90.0"
"Q5","52.559","31.115","Top","90.0"
"Q6","44.275","14.605","Top","0.0"
"Q7","38.243","65.405","Top","0.0"
"Q8","19.193","65.405","Top","0.0"
"R1","23.002","44.45","Top","90.0"
"R2","49.384","95.885","Top","270.0"
"R3","50.625","88.716","Top","0.0"
"R4","50.654","91.573","Top","0.0"
"R5","49.384","78.74","Top","270.0"
"R6","50.654","71.888","Top","0.0"
"R7","50.654","74.428","Top","0.0"
"R8","49.384","62.23","Top","270.0"
"R9","50.308","55.378","Top","0.0"
"R10","50.308","57.918","Top","0.0"
"R11","49.702","44.768","Top","270.0"
"R12","50.625","37.598","Top","0.0"
"R13","50.654","40.456","Top","0.0"
"R14","49.702","27.305","Top","270.0"
"R15","50.625","20.453","Top","0.0"
"R16","50.625","22.993","Top","0.0"
"R17","32.21","65.405","Top","270.0"
"R18","34.115","65.405","Top","90.0"
"R19","13.16","65.405","Top","270.0"
"R20","15.065","65.405","Top","90.0"
"R21","41.418","14.605","Top","270.0"
"R22","41.418","18.098","Top","270.0"
"R23","28.717","44.45","Top","90.0"
"R24","21.097","44.45","Top","90.0"
"R25","26.813","44.45","Top","90.0"
"R36","50.625","106.045","Top","0.0"
"RELAY","22.722","106.235","Top","180.0"
"U1","23.32","33.655","Top","0.0"
"U2","24.907","27.94","Top","90.0"
"U3","24.908","40.402","Top","90.0"
"U7","44.592","9.525","Top","180.0"
