Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C19, C20, C21, C23, C24, C25, C3, C4, C5, C6, C9",C_Elec_6.3x7.7,20,220uF,C7471881
"C2, CD2, CD4, CD5, CD7",0805,5,10u,C77075
C22,C_Elec_6.3x7.7,1,100uF,C99837
"C26, CD6",0805,2,100n,C1711
"C7, C8, CD1, CD3",0805,4,100n,C2909631
D1,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,1
"D10, D12, D13, D14, D16, D3, D8, D9",D_SMA,8,SS14,C2909920
"D11, D4, D6",0805,3,LED,C84256
"D15, D5, D7",D_SOD-123,3,1N4148W,C82544
"D17, D18, D19, D20",SOT-23,4,BAT54S,C47546
D2,D_MiniMELF,1,D_Zener,C181075
F1,1206,1,Polyfuse,C22446878
"J1, J3, J4","PhoenixContact_MSTBA_2,5_4-G-5,08_1x04_P5.08mm_Horizontal",3,Conn_01x04_Socket,
"J2, J5, RELAY1","PhoenixContact_MSTBA_2,5_3-G-5,08_1x03_P5.08mm_Horizontal",3,Conn_01x03_Socket,
K1,Relay_SPDT_Hongfa_JQC-3FF_0XX-1Z,1,Relay_SPDT,
"L1, L3, L4, L5, L6, L7, L8",L_Sunlord_SWPA4010S,7,33u,C167885
L2,0805,1,22n,C167885
"OLED1, OLED2, SERIAL1",Hirose_DF13C_CL535-0404-8-51_1x04-1MP_P1.25mm_Vertical,3,Conn_01x04_Socket,C7433470
"OPTO1, PWM1, S1, S2, TH1, VDC1","PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",6,Conn_01x02_Pin,1
"PROG1, RST1",SW_SPST_PTS647_Sx38,2,SW_Push,C455246
Q1,SOT-223-3_TabPin2,1,PMOS,C154901
"Q10, Q11, Q12, Q13, Q14, Q15, Q16, Q17, Q2, Q4, Q5, Q6, Q7, Q8, Q9",SOT-23,15,2N7002K,C65189
Q3,TO-252-2,1,40N02,
"R1, R10, R12, R13, R20, R26, R27, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R8",0805,21,10k,C17414
"R11, R14, R16, R18, R19",1206,5,0R22,C2683384
"R15, R21, R28, R29",0805,4,330,C17630
R17,1206,1,0R25,C2932845
"R2, R9",0805,2,1k,C95781
"R22, R25",0805,2,100k,C149504
"R23, R24, R3, R4, R5, R6, R7",0805,7,2k2,C17520
RTC1,RTC,1,Conn_01x04_Socket,1
SHT1,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Socket,1
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,XL1509-5V,C2681227
"U10, U4, U5, U7, U8, U9",ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,6,~,C2988027
U11,TSSOP-10_3x3mm_P0.5mm,1,ADS1115IDGS,C37593
U2,SOT-23-5,1,AP2112K-3.3,C51118
U3,SMDIP-4_W7.62mm,1,PC817,C5451664
U6,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
VDC2,BarrelJack_Horizontal,1,Barrel_Jack_Switch,C720557
