Designator,Mid X,Mid Y,Rotation,Layer
C1,84.3,-65.4,270.0,top
C10,84.7,-94.137499,90.0,top
C11,77.3,-94.137499,90.0,top
C12,92.537499,-114.8,180.0,top
C13,77.3,-109.337499,90.0,top
C14,84.9,-109.337499,90.0,top
C15,92.537499,-130.2,180.0,top
C16,77.3,-124.737499,90.0,top
C17,84.7,-124.737499,90.0,top
C19,92.537499,-145.4,180.0,top
C2,78.7,-71.149999,270.0,top
C20,77.3,-139.937499,90.0,top
C21,84.7,-139.937499,90.0,top
C22,119.462501,-156.4,0.0,top
C23,92.937499,-153.4,180.0,top
C24,77.3,-155.137499,90.0,top
C25,84.7,-155.137499,90.0,top
C26,96.6,-94.249999,270.0,top
C3,77.7,-57.062501,270.0,top
C4,92.537499,-84.4,180.0,top
C5,84.7,-78.937499,90.0,top
C6,77.3,-78.937499,90.0,top
C7,108.2,-74.149999,270.0,top
C8,130.4,-68.689999,270.0,top
C9,92.537499,-99.6,180.0,top
CD1,105.2,-52.190001,90.0,top
CD2,107.4,-52.190001,90.0,top
CD3,83.6,-53.749999,270.0,top
CD4,117.2,-142.149999,270.0,top
CD5,100.6,-66.450001,90.0,top
CD6,137.8,-82.050001,90.0,top
CD7,109.869999,-124.2,0.0,top
D1,89.05,-55.8,0.0,top
D10,71.8,-113.400001,270.0,top
D11,82.175001,-72.0,0.0,top
D12,71.7,-128.800001,270.0,top
D13,71.6,-144.000001,270.0,top
D14,71.6,-159.200001,270.0,top
D15,137.2,-60.8,90.0,top
D16,92.0,-158.8,0.0,top
D17,98.0,-88.262499,90.0,top
D18,134.8625,-89.6,180.0,top
D19,134.8625,-116.6,180.0,top
D2,69.45,-61.6,180.0,top
D20,134.8625,-103.0,180.0,top
D3,65.8,-66.500001,270.0,top
D4,136.575001,-136.4,180.0,top
D5,139.95,-138.8,0.0,top
D6,129.224999,-131.2,0.0,top
D7,134.425,-123.75,90.0,top
D8,71.7,-83.000001,270.0,top
D9,71.7,-98.400001,270.0,top
F1,70.1,-70.6875,270.0,top
J1,60.8,-90.78,270.0,top
J2,85.2,-49.4,180.0,top
J3,60.8,-121.38,270.0,top
J4,60.8,-151.46,270.0,top
J5,116.8,-165.6225,0.0,top
K1,135.6,-149.1,270.0,top
L1,70.1,-65.7,270.0,top
L2,102.2625,-53.14,0.0,top
L3,67.1,-79.5,90.0,top
L4,67.1,-94.7,90.0,top
L5,67.1,-109.9,90.0,top
L6,67.1,-125.3,90.0,top
L7,67.1,-140.5,90.0,top
L8,67.1,-155.7,90.0,top
OLED1,115.4,-136.1,180.0,top
OLED2,98.8,-58.5,180.0,top
OPTO1,144.6225,-127.66,90.0,top
PROG1,125.2,-73.54,180.0,top
PWM1,100.74,-165.6225,0.0,top
Q1,67.749999,-56.6,0.0,top
